Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,4320.000000,4360.000000,4280.000000,4350.000000,4185.714355,17090500
2017-01-08,4340.000000,4390.000000,4210.000000,4250.000000,4089.490723,23210400
2017-01-15,4250.000000,4270.000000,4170.000000,4170.000000,4012.512695,22995500
2017-01-22,4170.000000,4280.000000,4150.000000,4220.000000,4060.624512,21334600
2017-01-29,4210.000000,4280.000000,4180.000000,4260.000000,4099.113281,23164100
2017-02-05,4270.000000,4810.000000,4220.000000,4770.000000,4589.852539,92200900
2017-02-12,4770.000000,4830.000000,4680.000000,4700.000000,4522.496582,45710200
2017-02-19,4700.000000,4990.000000,4640.000000,4860.000000,4676.453125,60383500
2017-02-26,4860.000000,4900.000000,4660.000000,4680.000000,4503.250977,40931700
2017-03-05,4680.000000,4690.000000,4430.000000,4440.000000,4272.315918,46684900
2017-03-12,4440.000000,4740.000000,4440.000000,4740.000000,4560.985352,30788500
2017-03-19,4740.000000,4750.000000,4530.000000,4550.000000,4378.161133,37622500
2017-03-26,4570.000000,4630.000000,4490.000000,4620.000000,4521.286621,27740800
2017-04-02,4610.000000,4740.000000,4570.000000,4720.000000,4619.149902,28769100
2017-04-09,4720.000000,4740.000000,4620.000000,4640.000000,4540.858887,17020300
2017-04-16,4600.000000,4690.000000,4440.000000,4470.000000,4374.491211,33577600
2017-04-23,4470.000000,4700.000000,4400.000000,4640.000000,4540.858887,54862000
2017-04-30,4640.000000,4750.000000,4550.000000,4740.000000,4638.722656,23774300
2017-05-07,4750.000000,4900.000000,4660.000000,4810.000000,4707.227051,47790000
2017-05-14,4830.000000,5050.000000,4740.000000,5000.000000,4893.167480,49801200
2017-05-21,5075.000000,5150.000000,4940.000000,5075.000000,4966.564941,54430800
2017-05-28,5125.000000,5300.000000,5000.000000,5200.000000,5088.894043,35176600
2017-06-04,5250.000000,5250.000000,4980.000000,5125.000000,5015.496582,46178800
2017-06-11,5150.000000,5300.000000,5100.000000,5150.000000,5039.962402,29428200
2017-06-18,5175.000000,5450.000000,5150.000000,5350.000000,5235.689453,41529000
2017-06-25,5350.000000,5350.000000,5350.000000,5350.000000,5235.689453,0
2017-07-02,5425.000000,5500.000000,5225.000000,5275.000000,5162.291504,44725000
2017-07-09,5250.000000,5400.000000,5150.000000,5225.000000,5113.359863,25026900
2017-07-16,5275.000000,5350.000000,5200.000000,5275.000000,5162.291504,19711600
2017-07-23,5300.000000,5750.000000,5225.000000,5700.000000,5578.210938,40804000
2017-07-30,5700.000000,5850.000000,5450.000000,5475.000000,5358.018066,27012700
2017-08-06,5425.000000,5650.000000,5275.000000,5500.000000,5382.483887,31220200
2017-08-13,5525.000000,5625.000000,5400.000000,5500.000000,5382.483887,20452300
2017-08-20,5525.000000,5600.000000,5400.000000,5575.000000,5455.881348,27339300
2017-08-27,5575.000000,5875.000000,5500.000000,5825.000000,5700.540039,24721000
2017-09-03,5825.000000,6000.000000,5675.000000,5925.000000,5798.403320,44061400
2017-09-10,5975.000000,6050.000000,5800.000000,6000.000000,5871.800781,35155700
2017-09-17,5975.000000,6000.000000,5600.000000,5750.000000,5627.142578,24110300
2017-09-24,5750.000000,5775.000000,5525.000000,5600.000000,5480.347168,27861800
2017-10-01,5675.000000,5850.000000,5625.000000,5825.000000,5700.540039,25763200
2017-10-08,5850.000000,6250.000000,5825.000000,6075.000000,5945.198242,73058000
2017-10-15,6075.000000,6350.000000,5975.000000,6050.000000,5920.732422,44714700
2017-10-22,6150.000000,6600.000000,5950.000000,6500.000000,6361.117676,60461700
2017-10-29,6500.000000,6550.000000,6250.000000,6525.000000,6385.583496,36026700
2017-11-05,6525.000000,6750.000000,6450.000000,6500.000000,6361.117676,31624100
2017-11-12,6525.000000,6675.000000,6400.000000,6600.000000,6458.980957,42369400
2017-11-19,6600.000000,6775.000000,6375.000000,6425.000000,6287.720215,30956000
2017-11-26,6450.000000,6600.000000,6200.000000,6375.000000,6238.788574,39824000
2017-12-03,6425.000000,6550.000000,6150.000000,6425.000000,6287.720215,73351500
2017-12-10,6375.000000,6450.000000,6150.000000,6150.000000,6018.595703,55801000
2017-12-17,6150.000000,6350.000000,6100.000000,6300.000000,6165.390625,37827600
2017-12-24,6300.000000,6400.000000,6200.000000,6400.000000,6263.254395,21923700
2017-12-31,6400.000000,6500.000000,6225.000000,6500.000000,6361.117676,21932600
2018-01-07,6525.000000,6600.000000,6175.000000,6225.000000,6091.993164,54060400
2018-01-14,6275.000000,6400.000000,6125.000000,6200.000000,6067.527344,35117400
2018-01-21,6275.000000,6275.000000,5700.000000,5725.000000,5602.676758,99849300
2018-01-28,5800.000000,5850.000000,5550.000000,5600.000000,5480.347168,52123700
2018-02-04,5550.000000,5775.000000,5500.000000,5700.000000,5578.210938,32416400
2018-02-11,5700.000000,5850.000000,5600.000000,5625.000000,5504.812988,39260400
2018-02-18,5700.000000,5700.000000,5425.000000,5425.000000,5309.086426,50185400
2018-02-25,5475.000000,5475.000000,5225.000000,5350.000000,5235.689453,63176100
2018-03-04,5350.000000,5375.000000,5150.000000,5200.000000,5088.894043,25653900
2018-03-11,5200.000000,5275.000000,4790.000000,4840.000000,4736.585938,40499600
2018-03-18,4840.000000,5050.000000,4570.000000,4610.000000,4511.500488,35447000
2018-03-25,4590.000000,4640.000000,4460.000000,4580.000000,4482.141113,28905400
2018-04-01,4580.000000,4690.000000,4520.000000,4570.000000,4472.354980,16571800
2018-04-08,4570.000000,4750.000000,4540.000000,4620.000000,4521.286621,35785700
2018-04-15,4620.000000,4620.000000,4500.000000,4560.000000,4462.568848,5301000
2018-04-22,4500.000000,4520.000000,4410.000000,4420.000000,4383.081543,7241700
2018-04-29,4240.000000,4460.000000,4110.000000,4120.000000,4085.587402,14786400
2018-05-06,4220.000000,4230.000000,4010.000000,4140.000000,4105.420410,21280500
2018-05-13,4100.000000,4200.000000,3950.000000,3970.000000,3936.840332,22982200
2018-05-20,3960.000000,4420.000000,3920.000000,4320.000000,4283.916992,43258900
2018-05-27,4320.000000,4450.000000,4280.000000,4450.000000,4412.831055,28403700
2018-06-03,4460.000000,4750.000000,4420.000000,4610.000000,4571.494629,47474800
2018-06-10,4610.000000,4610.000000,4610.000000,4610.000000,4571.494629,0
2018-06-17,4610.000000,4650.000000,4250.000000,4250.000000,4214.501465,20652300
2018-06-24,4320.000000,4350.000000,4120.000000,4180.000000,4145.086426,19121600
2018-07-01,4190.000000,4730.000000,4000.000000,4640.000000,4601.244141,30272000
2018-07-08,4650.000000,4880.000000,4640.000000,4760.000000,4720.241699,34477200
2018-07-15,4760.000000,5075.000000,4740.000000,4950.000000,4908.654785,26513400
2018-07-22,4900.000000,5275.000000,4900.000000,4950.000000,4908.654785,30426800
2018-07-29,4960.000000,5025.000000,4670.000000,5000.000000,4958.237305,25682400
2018-08-05,5025.000000,5100.000000,4800.000000,4950.000000,4908.654785,13384200
2018-08-12,4900.000000,4900.000000,4390.000000,4460.000000,4422.747559,19246200
2018-08-19,4480.000000,4760.000000,4480.000000,4600.000000,4561.578125,12727600
2018-08-26,4600.000000,4750.000000,4520.000000,4530.000000,4492.162598,15242600
2018-09-02,4560.000000,4610.000000,4160.000000,4500.000000,4462.413574,17918000
2018-09-09,4490.000000,4570.000000,4340.000000,4510.000000,4472.330078,8601100
2018-09-16,4510.000000,4540.000000,4310.000000,4350.000000,4313.666504,17842600
2018-09-23,4370.000000,4530.000000,4340.000000,4470.000000,4432.664063,13811700
2018-09-30,4450.000000,4530.000000,4240.000000,4350.000000,4313.666504,15054900
2018-10-07,4370.000000,4440.000000,4260.000000,4360.000000,4323.582520,15044800
2018-10-14,4390.000000,4500.000000,4280.000000,4330.000000,4293.833496,20343900
2018-10-21,4330.000000,4360.000000,4020.000000,4160.000000,4125.253418,24232800
2018-10-28,4200.000000,4250.000000,4110.000000,4180.000000,4145.086426,17661400
2018-11-04,4170.000000,4190.000000,3950.000000,3990.000000,3956.673096,52936600
2018-11-11,4000.000000,4040.000000,3800.000000,4000.000000,3966.589600,47590800
2018-11-18,4020.000000,4060.000000,3940.000000,3990.000000,3956.673096,19241600
2018-11-25,4000.000000,4190.000000,3920.000000,4130.000000,4095.503906,48174900
2018-12-02,4180.000000,4630.000000,4180.000000,4520.000000,4482.246582,100507500
2018-12-09,4520.000000,4680.000000,4400.000000,4570.000000,4531.828613,35352000
2018-12-16,4590.000000,4620.000000,4290.000000,4320.000000,4283.916992,36728000
2018-12-23,4320.000000,4350.000000,4260.000000,4280.000000,4244.250977,12733100
2018-12-30,4280.000000,4280.000000,4280.000000,4280.000000,4244.250977,0
